Operand1,Operator,Operand2,ExpectedResult
,,,"Improper number of arguments 0, expecting 'operand1 operator operand2'"
1/2a,+,3/4,"Input part '2a' is not a number"
1_1/2,*,2_3/4,4_1/8
1/2,/,3/0,"Denominator of fraction is zero"
1/2,/,3/4,2/3
3,/,0/4,"Operation is division and second operand is zero"
3,+,4,7
0_1/2,-,3/4,-1/4
1/2,-,1_3/4,-1_1/4
1/2,-,1/2,0
3,%,2,"Invalid operator '%', expecting one of * / + -"
0,*,0,0
0,/,0,"Operation is division and second operand is zero"
0,+,0,0
0,-,0,0
0/2,*,0/5,0
0/2,/,0/5,"Operation is division and second operand is zero"
0/2,+,0/5,0
0/2,-,0/5,0
0_0/2,*,0_0/5,0
0_0/2,/,0_0/5,"Operation is division and second operand is zero"
0_0/2,+,0_0/5,0
0_0/2,-,0_0/5,0
5,*,0,0
5,/,0,"Operation is division and second operand is zero"
5,+,0,5
5,-,0,5
5_1/2,*,0/3,0
5_1/2,/,0/3,"Operation is division and second operand is zero"
5_1/2,+,0/3,5_1/2
5_1/2,-,0/3,5_1/2
5_1/2,*,0_0/3,0
5_1/2,/,0_0/3,"Operation is division and second operand is zero"
5_1/2,+,0_0/3,5_1/2
5_1/2,-,0_0/3,5_1/2
0,*,5,0
0,/,5,0
0,+,5,5
0,-,5,-5
0/3,*,5_1/2,0
0/3,/,5_1/2,0
0/3,+,5_1/2,5_1/2
0/3,-,5_1/2,-5_1/2
0_0/3,*,5_1/2,0
0_0/3,/,5_1/2,0
0_0/3,+,5_1/2,5_1/2
0_0/3,-,5_1/2,-5_1/2
3,*,5,15
3,/,5,3/5
3,+,5,8
3,-,5,-2
0_1/2,*,1/4,1/8
0_1/2,/,1/4,2
0_1/2,+,1/4,3/4
0_1/2,-,1/4,1/4
1/4,*,0_1/2,1/8
1/4,/,0_1/2,1/2
1/4,+,0_1/2,3/4
1/4,-,0_1/2,-1/4
1/2,*,1/2,1/4
1/2,/,1/2,1
1/2,+,1/2,1
1/2,-,1/2,0
3_1/2,*,5_1/3,18_2/3
3_1/2,/,5_1/3,21/32
3_1/2,+,5_1/3,8_5/6
3_1/2,-,5_1/3,-1_5/6
7/4,*,11/9,2_5/36
7/4,/,11/9,1_19/44
7/4,+,11/9,2_35/36
7/4,-,11/9,19/36
2_7/4,*,3_11/9,15_5/6
2_7/4,/,3_11/9,135/152
2_7/4,+,3_11/9,7_35/36
2_7/4,-,3_11/9,-17/36
12345,*,67890,838102050
12345,/,67890,823/4526
12345,+,67890,80235
12345,-,67890,-55545
